Time CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0013a CK_0013b CK_0014a CK_0014b CK_0015a CK_0015b CK_0017a CK_0017b CK_0018a CK_0018b CK_0019a CK_0019b CK_0020a CK_0020b CK_0021a CK_0021b CK_0022a CK_0022b CK_0024a CK_0024b CK_0025a CK_0025b CK_0026a CK_0026b CK_0027a CK_0027b driver_0010a driver_0010b driver_0011a driver_0011b driver_0012a driver_0012b driver_0016a driver_0016b driver_0023a driver_0023b driver_0028a driver_0028b out_ol out_oh
21 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.151833e-01 -5.806994e-02
22 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.151919e-01 -5.807187e-02
23 -2 -2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.154126e-01 -5.808448e-02
24 -2 -2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.154973e-01 -5.808160e-02
25 -2 -2 -2 -2 -2 -2 0 0 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.153909e-01 -5.802046e-02
26 -2 -2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.199461e-01 -5.886752e-02
27 -2 -2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.215785e-01 -5.899512e-02
28 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.233675e-01 -5.845181e-02
29 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.214873e-01 -5.694902e-02
30 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.053724e-01 -6.542936e-02
31 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.087921e-01 -7.677249e-02
32 0 0 0 0 0 0 -2 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 0 0 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.156784e-01 -8.647019e-02
33 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.355081e-03 6.784714e-03
